unix_s,memory_current,memory_peak,process_count,rss_total_kib,codex_rss_kib,anon,file,kernel,kernel_stack,pagetables,sock,slab,slab_reclaimable,slab_unreclaimable
1786202670.642037,698253312,2188410880,3,125384,110856,43778048,633565184,11440128,917504,1789952,12288,8519264,7596360,922904
1786202670.893016,688439296,2188410880,3,125120,110592,43778048,624066560,11440128,917504,1789952,12288,8519856,7596952,922904
1786202671.143806,688218112,2188410880,3,125120,110592,43778048,624066560,11440128,917504,1789952,12288,8519856,7596952,922904
1786202671.394691,688218112,2188410880,3,125120,110592,43778048,624066560,11440128,917504,1789952,12288,8519856,7596952,922904
1786202671.645557,688218112,2188410880,3,125120,110592,43778048,624066560,11436032,917504,1789952,12288,8516304,7593400,922904
1786202671.896619,688214016,2188410880,3,125120,110592,43778048,624066560,11436032,917504,1789952,12288,8516304,7593400,922904
1786202672.147433,695910400,2188410880,3,125716,111188,43778048,631132160,11444224,917504,1789952,12288,8516304,7593400,922904
1786202672.398363,695910400,2188410880,3,125716,111188,43778048,631132160,11444224,917504,1789952,12288,8516304,7593400,922904
1786202672.649382,695635968,2188410880,3,125716,111188,43778048,631132160,11444224,917504,1789952,12288,8516304,7593400,922904
1786202672.900593,695377920,2188410880,3,125716,111188,43778048,631132160,11444224,917504,1789952,12288,8518672,7595768,922904
1786202673.151772,695377920,2188410880,3,125716,111188,43778048,631132160,11444224,917504,1789952,12288,8518672,7595768,922904
1786202673.402765,695377920,2188410880,3,125716,111188,43778048,631132160,11444224,917504,1789952,12288,8518672,7595768,922904
1786202673.653903,695377920,2188410880,3,125716,111188,43778048,631132160,11444224,917504,1789952,12288,8518672,7595768,922904
1786202673.905078,695377920,2188410880,3,125716,111188,43778048,631132160,11444224,917504,1789952,12288,8518672,7595768,922904
1786202674.156130,694673408,2188410880,3,125716,111188,43778048,631132160,11444224,917504,1789952,12288,8518672,7595768,922904
1786202674.407208,694673408,2188410880,3,125716,111188,43778048,631132160,11444224,917504,1789952,12288,8518672,7595768,922904
1786202674.658278,694673408,2188410880,3,125716,111188,43778048,631132160,11444224,917504,1789952,12288,8518672,7595768,922904
1786202674.909008,684007424,2188410880,3,125716,111188,43778048,620466176,11444224,917504,1789952,12288,8518672,7595768,922904
1786202675.160051,684007424,2188410880,3,125716,111188,43778048,620466176,11444224,917504,1789952,12288,8518672,7595768,922904
1786202675.411103,684007424,2188410880,3,125716,111188,43778048,620466176,11436032,917504,1789952,12288,8515712,7592808,922904
1786202675.662129,683999232,2188410880,3,125716,111188,43778048,620466176,11436032,917504,1789952,12288,8515712,7592808,922904
1786202675.913064,683999232,2188410880,3,125716,111188,43778048,620466176,11436032,917504,1789952,12288,8515712,7592808,922904
1786202676.164090,683995136,2188410880,3,125716,111188,43778048,620466176,11436032,917504,1789952,12288,8515712,7592808,922904
1786202676.414887,683995136,2188410880,3,125716,111188,43778048,620466176,11436032,917504,1789952,12288,8515712,7592808,922904
1786202676.665550,683876352,2188410880,3,125716,111188,43778048,620466176,11436032,917504,1789952,12288,8515712,7592808,922904
1786202676.916186,683876352,2188410880,3,125716,111188,43778048,620466176,11436032,917504,1789952,12288,8515712,7592808,922904
1786202677.166835,683876352,2188410880,3,125716,111188,43778048,620466176,11436032,917504,1789952,12288,8515712,7592808,922904
1786202677.417590,683876352,2188410880,3,125716,111188,43778048,620466176,11436032,917504,1789952,12288,8515712,7592808,922904
1786202677.668516,683876352,2188410880,3,125716,111188,43778048,620466176,11436032,917504,1789952,12288,8515712,7592808,922904
1786202677.919517,683876352,2188410880,3,125716,111188,43778048,620466176,11431936,917504,1789952,12288,8509496,7592808,916688
1786202678.170530,683876352,2188410880,3,125716,111188,43778048,620466176,11431936,917504,1789952,12288,8509496,7592808,916688
1786202678.421493,683876352,2188410880,3,125716,111188,43778048,620466176,11431936,917504,1789952,12288,8509496,7592808,916688
1786202678.672596,683876352,2188410880,3,125716,111188,43778048,620466176,11431936,917504,1789952,12288,8509496,7592808,916688
1786202678.923830,683876352,2188410880,3,125716,111188,43778048,620466176,11431936,917504,1789952,12288,8509496,7592808,916688
1786202679.174570,683876352,2188410880,3,125716,111188,43778048,620466176,11431936,917504,1789952,12288,8509496,7592808,916688
1786202679.425512,683876352,2188410880,3,125716,111188,43778048,620466176,11431936,917504,1789952,12288,8509496,7592808,916688
1786202679.676296,683851776,2188410880,3,125696,111168,43778048,620466176,11431936,917504,1789952,12288,8509496,7592808,916688
1786202679.927138,683749376,2188410880,3,125696,111168,43757568,620466176,11370496,884736,1777664,12288,8492920,7592808,900112
